Course Number,Course Title,Subject,Tag 1,Tag 2,Tag 3,Tag 4,Tag 5,,,,
AAS 103,First year Social Science Seminar,AAS,Afroamerican and African Studies,Race,History,Social Science,Culture,,,,
AAS 104,First Year Humanities Seminar,AAS,Afroamerican and African Studies,History,Health,Humanities,Literature,,,,
AAS 116,Elementary Swahili II: Language and Culture,AAS,Swahili,Language,Communication,Culture,Conversation,,,,
AAS 126,Elementary Yoruba II,AAS,Yoruba,Language,Culture,Communication,Speaking,,,,
AAS 200,Introduction to African Studies,AAS,Africa,History,Culture,Changing Perspectives,Development,,,,
AAS 201,Introduction to Afro-American Studies,AAS,African American History,Politics,Culture,Race,Development,,,,
AAS 202,Introduction to African Diasporic Studies,AAS,Africa,literature and the arts,history,Migration,Imperalism,,,,
AAS 208 / HISTART 208,Introduction to African Art,AAS,Africa,African Diaspora,Art and culture,Communication,Textiles,,,,
AAS 216,Intermediate Swahili II,AAS,Swahili,Language,Writing,Communication,Speaking,,,,
AAS 226,Intermediate Yoruba II,AAS,Yoruba,Language,Writing,Communication,Culture,,,,
AAS 247 / History 247 / INTLSTD 247,Modern Africa,AAS,Africa,History,Slavery,Imperialism,Decolonization,,,,
AAS 248,"Crime, Race, and the Law",AAS,American History,Race,Criminal Justice,Public policy,U.S. Society,,,,
AAS 251,"Law, Race, and the Historical Process, II",AAS,Afircan American History,Civil Rights,Race,Culture,Law,,,,
AAS 262 / History 272,20th Century African-American Social Movements,AAS,American History,Civil Rights Movement,Race,Law,Public Policy,,,,
AAS 271 / English 274,Introduction to Afro-American Literature,AAS,Literature,American Society,Writing,African-American Culture,Race,,,,
AAS 290,Selected Topics in Black World Studies,AAS,Afoamerican studies,African studies,Caribbean studies,History,Culture,,,,
AAS 303 / SOC 303,Race and Ethnic Relations,AAS,American History,Race & Ethnicity,Politics,Sociology,Intergroup relations,,,,
AAS 304 / WGS 304,"Gender and Immigration: Identity, Race, and Place",AAS,Immigration,Gender Identity,Culture,History and Literature,Political Science,,,,
AAS 316,Advanced Swahili II,AAS,Swahili,Language,Literature,Africa,Communication,,,,
AAS 321 / SOC 323,African American Social Thought,AAS,African American History,Culture,Sociology,American Society,Interpretation,,,,
AAS 323 / History 388 / WGS 323,Black Feminist Thought and Practice,AAS,American History,Black Feminism,Race,Sexuality,Gender,,,,
AAS 324,"Dealing with the Past and Doing Justice in Africa: South Africa, Rwanda, Sierra Leone",AAS,Africa,Political Science,Justice,International Law,Sovereignty,,,,
AAS 326,Advanced Yoruba II,AAS,Yoruba,Language,Literature,African Culture,Conversation,,,,
AAS 329 / English 334 / WGS 325,Contemporary Black Women Writers,AAS,Literature,Black Feminism,Poetry,History,Renaissance,,,,
AAS 330 / RCSTP 330,Living for the City: Black Study and Urban Transformation,AAS,Black studies,Urbanism,Society,Culture,History,,,,
AAS 331 / PSYCH 316,The World of the Black Child,AAS,Afroamerican and African Studies,Psychology,Analysis,Culture,Child Development,,,,
AAS 338 / English 379,Literature in Afro-American Culture,AAS,Literature,Writing,Afro-American studies,Culture,Communication,,,,
AAS 353 / ANTHRCUL 353,Urban Ethnography and the Black Experience,AAS,US History,Urban Anthropology,Black culture,Ethnography,Representation,,,,
AAS 358,Topics in Black World Studies,AAS,Black studies,History,Geography,Culture,Race,,,,
AAS 365 / ANTHRCUL 365 / WGS 365,"Global Perspectives on Gender, Health and Reproduction",AAS,Gender,Race,Class,Social Divisions,Global Health,,,,
AAS 367,Africanist Dance Traditions: From Minstrelsy to Hip Hop,AAS,African-American Culture,Music,Dance ,20th Century History,Concert performance,,,,
AAS 374 / English 374,Readings in African American and Black Literatures,AAS,African-American Literature,Historical & Cultural Contexts,Gender & Sexuality,Protest & Activism,Visual Art & Film,,,,
AAS 384 / AMCULT 376 / English 384,Caribbean Literaturew,AAS,Caribbean Culture,Race & Ethnicity,Lterature,Migration,History,,,,
AAS 393,"Flawless/Formation/Freedom: Writing About Race, Gender and Popular Culture",AAS,Creative nonfiction writing,Culture,Race & Ethnicity,Gender & Sexuality,Editorials,,,,
AAS 395 / GERMAN 396 / HISTORY 396,Germany and the Black Diaspora,AAS,German-African Relations,Race & Identity,Diaspora Studies,Colonialism & Migration,History,,,,
AAS 408,African Economies: Social and Political Settings,AAS,Africa,Economics,Political Science,Sociocultural contexts,History,,,,
